Gemeindename,place_latitude,place_longitude,place_openingHours,place_title,place_zipcode,Match,Gemeinde nach LONGLAT,Unnamed: 8,GMDNAME
Courroux,47.36157255,7.37478649,07:30 - 18:30,Coop Supermarché Courroux,2822,435.0,,,Courroux
Couvet,46.92198893,6.62440549,07:30 - 19:00,Coop Supermarché Couvet,2108,,,,Val-de-Travers
Crans,46.30764132,7.46784463,08:00 - 19:00,Coop Supermarché Crans-Sur-Sierre,3963,,,,Crans-Montana
Crans-Montana,46.3117566,7.48306165,08:00 - 19:00,Coop Supermarché Crans-Montana,3963,442.0,,,Crans-Montana
Crissier,46.54495464,6.57001943,08:30 - 19:30,Coop Supermarché Crissier,1023,448.0,,,Renens (VD)
Cully,46.4881232,6.72868502,08:00 - 19:00,Coop Supermarché Cully,1096,,,,Bourg-en-Lavaux
Dagmersellen,47.21209423,7.99030709,07:30 - 19:00,Coop Supermarkt Dagmersellen,6252,462.0,,,Dagmersellen
Davos Platz,46.79291452,9.82073474,08:00 - 20:00,Coop Supermarkt Davos,7270,,,,Davos
Degersheim,47.37230702,9.1953316,07:30 - 19:00,Coop Supermarkt Degersheim,9113,475.0,,,Degersheim
Delemont,47.37072722,7.35846418,08:00 - 18:30,Coop Supermarché Coop Delémont Ticle,2800,,,,Delémont
Derendingen,47.19631192,7.58602343,07:30 - 18:30,Coop Supermarkt Derendingen,4552,484.0,,,Derendingen
Dielsdorf,47.48437198,8.46580185,08:00 - 20:00,Coop Supermarkt Dielsdorf,8157,487.0,,,Dielsdorf
Diepoldsau,47.38947227,9.64904435,07:00 - 19:00,Coop Supermarkt Diepoldsau,9444,491.0,,,Diepoldsau
Diessenhofen,47.68712194,8.75385292,07:30 - 19:00,Coop Supermarkt Diessenhofen,8253,494.0,,,Diessenhofen
Dietikon,47.40374689,8.40259925,07:00 - 21:00,Coop Supermarkt Dietikon Florastrasse,8953,495.0,,,Dietikon
Dietikon,47.39813132,8.41787807,08:00 - 20:00,Coop Supermarkt Dietikon Brunau,8953,495.0,,,Urdorf
Dietikon,47.41830613,8.39219442,08:00 - 21:00,Coop Supermarkt Dietikon Silbern,8953,495.0,,,Oetwil an der Limmat
Dietikon,47.40582104,8.39220945,07:00 - 20:00,Coop Supermarkt Dietikon Steinmürlistrasse,8953,495.0,,,Dietikon
Dietlikon,47.42192683,8.61866999,07:30 - 20:00,Coop Supermarkt Dietlikon Bahnhofstrasse,8305,496.0,,,Dietlikon
Dietlikon,47.41277022,8.61862594,09:00 - 21:00,Coop Supermarkt Dietlikon Center,8305,496.0,,,Dietlikon
Disentis,46.70017706,8.84215112,08:00 - 19:00,Coop Supermarkt Disentis,7180,,,,Disentis/Mustér
Domat-Ems,46.83696591,9.45249253,08:00 - 20:00,Coop Supermarkt Domat-Ems,7013,,,,Domat/Ems
Dongio,46.43957407,8.95296641,08:00 - 12:00 14:00 - 19:00,Coop Supermercato Dongio,6715,,,,Acquarossa
Dornach,47.48867079,7.60879114,08:00 - 18:30,Coop Supermarkt Dornach,4143,511.0,,,Dornach
Dottikon,47.38165454,8.23904269,07:30 - 19:00,Coop Supermarkt Dottikon,5605,512.0,,,Dottikon
Dübendorf,47.39732811,8.61661453,07:30 - 20:00,Coop Supermarkt Dübendorf Center,8600,517.0,,,Dübendorf
Düdingen,46.8501654,7.19082595,07:00 - 19:00,Coop Supermarkt Düdingen,3186,518.0,,,Düdingen
Dulliken,47.35372306,7.94571089,07:30 - 18:30,Coop Supermarkt Dulliken,4657,521.0,,,Dulliken
Ebikon,47.08263976,8.34321058,07:30 - 19:00,Coop Supermarkt Ebikon,6030,526.0,,,Ebikon
Ebnat-Kappel,47.2654344,9.12131866,07:30 - 19:00,Coop Supermarkt Ebnat-Kappel,9642,527.0,,,Ebnat-Kappel
Echallens,46.6419344,6.6312458,Closed,Coop Supermarché Echallens,1040,528.0,,,Echallens
Ecublens,46.53369818,6.56619806,08:00 - 19:30,Coop Supermarché Ecublens,1024,,,,Ecublens (VD)
Effretikon,47.42838434,8.6847728,07:30 - 19:00,Coop Supermarkt Effretikon Effimärt,8307,,,,Illnau-Effretikon
Effretikon,47.42679246,8.69223793,07:00 - 20:00,Coop Supermarkt Effretikon Watt,8307,,,,Illnau-Effretikon
Egerkingen,47.32147558,7.79474124,08:00 - 12:30 13:30 - 18:30,Coop Supermarkt Egerkingen Dorf,4622,536.0,,,Egerkingen
Egerkingen,47.31798672,7.80309045,09:00 - 18:30,Coop Supermarkt Egerkingen Gäupark,4622,536.0,,,Egerkingen
Egg ZH,47.30402092,8.69157469,08:00 - 20:00,Coop Supermarkt Egg,8132,,,,Egg
Ehrendingen,47.49435384,8.34088447,08:00 - 20:00,Coop Supermarkt Ehrendingen,5420,546.0,,,Ehrendingen
Einsiedeln,47.12688509,8.74571476,07:30 - 20:00,Coop Supermarkt Einsiedeln,8840,550.0,,,Einsiedeln
Einsiedeln,47.1324888,8.74500792,08:00 - 20:00,Coop Supermarkt Einsiedeln wissmüli markt K.,8840,550.0,,,Einsiedeln
Elgg,47.49390008,8.86511096,07:30 - 19:00,Coop Supermarkt Elgg,8353,553.0,,,Elgg
Embrach,47.51107194,8.59420456,07:30 - 20:00,Coop Supermarkt Embrach,8424,557.0,,,Embrach
Emmenbrücke,47.08095221,8.27139901,07:30 - 19:00,Coop Supermarkt Emmenbrücke Sprengi,6020,,,,Rothenburg
Emmenbrücke,47.07326481,8.29050335,07:30 - 19:00,Coop Supermarkt Emmen,6020,,,,Emmen
Engelberg,46.82087346,8.40440481,07:30 - 20:00,Coop Supermarkt Engelberg,6390,561.0,,,Engelberg
Entlebuch,46.99334849,8.06578556,08:00 - 19:00,Coop Supermarkt Entlebuch,6162,566.0,,,Entlebuch
Epalinges,46.54371132,6.66035294,08:00 - 19:00,Coop Supermarché Epalinges,1066,567.0,,,Epalinges
Erlenbach,47.30703011,8.58926781,07:30 - 21:00,Coop Supermarkt Erlenbach,8703,,,,Erlenbach (ZH)
Erlenbach,46.6612463,7.55491978,07:00 - 19:00,Coop Supermarkt Erlenbach i.S.,3762,,,,Erlenbach im Simmental
Erlinsbach,47.39846479,8.00691383,07:30 - 18:30,Coop Supermarkt Erlinsbach,5015,,,,Erlinsbach (SO)
Erstfeld,46.82431929,8.64904611,07:30 - 18:30,Coop Supermarkt Erstfeld,6472,586.0,,,Erstfeld
Eschenbach,47.24074339,8.91989361,07:30 - 19:00,Coop Supermarkt Eschenbach SG,8733,,,,Eschenbach (SG)
Eschenbach LU,47.13546829,8.31913533,07:30 - 19:00,Coop Supermarkt Eschenbach LU,6274,,,,Eschenbach (LU)
Estavayer-Le-Lac,46.84596723,6.84323963,07:30 - 19:00,Coop Supermarché Estavayer-Le-Lac,1470,,,,Estavayer
Etagnières,46.59400098,6.60842008,07:30 - 19:30,Coop Supermarché Etagnières,1037,596.0,,,Etagnières
Ettingen,47.4824681,7.54573671,08:00 - 19:00,Coop Supermarkt Ettingen,4107,598.0,,,Ettingen
Evolène,46.10836379,7.50101636,08:00 - 19:00,Coop Supermarché Evolène,1983,603.0,,,Evolène
Faido,46.47786438,8.79902766,08:00 - 19:00,Coop Supermercato Faido,6760,608.0,,,Faido
Fällanden,47.3710099,8.64174701,07:00 - 20:00,Coop Supermarkt Fällanden,8117,610.0,,,Fällanden
Fehraltorf,47.3868471,8.75504746,07:30 - 20:00,Coop Supermarkt Fehraltorf,8320,614.0,,,Fehraltorf
Feldmeilen,47.27973728,8.61519578,07:30 - 20:00,Coop Supermarkt Feldmeilen,8706,,,,Herrliberg
Felsberg,46.84577728,9.47876309,08:00 - 12:15 14:00 - 19:00,Coop Supermarkt Felsberg,7012,618.0,,,Felsberg
Feuerthalen,47.69069774,8.64743858,08:00 - 20:00,Coop Supermarkt Feuerthalen Rhymarkt,8245,625.0,,,Feuerthalen
Fiesch,46.4014312,8.13298365,08:00 - 18:30,Coop Supermarkt Fiesch,3984,629.0,,,Fiesch
Filisur,46.67375661,9.68387107,08:00 - 12:15 14:00 - 18:30,Coop Supermarkt Filisur,7477,,,,Schmitten (GR)
Flamatt,46.88970361,7.31408854,07:00 - 19:00,Coop Supermarkt Flamatt,3175,,,,Neuenegg
Flawil,47.413784,9.18563336,08:00 - 19:00,Coop Supermarkt Flawil,9230,642.0,,,Flawil
Fleurier,46.90233529,6.5827702,07:30 - 19:00,Coop Supermarché Fleurier,2114,,,,Val-de-Travers
Flims,46.8339139,9.28142869,08:00 - 19:00,Coop Supermarkt Flims Stenna,7017,644.0,,,Flims
Flums,47.09078284,9.34506898,07:30 - 19:00,Coop Supermarkt Flums,8890,648.0,,,Flums
Fontainemelon,47.05756454,6.89307583,08:00 - 19:00,Coop Supermarché Fontainemelon,2052,,,,Val-de-Ruz
Fraubrunnen,47.08522509,7.52365285,07:00 - 19:00,Coop Supermarkt Fraubrunnen,3312,656.0,,,Fraubrunnen
Frauenfeld,47.56122368,8.88730562,08:00 - 20:00,Coop Supermarkt Frauenfeld Fallengatter,8500,657.0,,,Frauenfeld
Frauenfeld,47.55409617,8.89689063,08:00 - 20:00,Coop Supermarkt Frauenfeld Schlosspark,8500,657.0,,,Frauenfeld
Frauenfeld,47.56741552,8.90634769,08:00 - 20:00,Coop Supermarkt Frauenfeld Allmendcenter,8500,657.0,,,Frauenfeld
Frenkendorf,47.50222967,7.72146525,08:00 - 20:00,Coop Supermarkt Frenkendorf,4402,663.0,,,Frenkendorf
Fribourg,46.80893734,7.17373449,07:30 - 19:00,Coop Supermarché Fribourg Schönberg,1700,664.0,,,Pierrafortscha
Fribourg,46.80945822,7.144201,07:30 - 19:00,Coop Supermarché Fribourg Jura,1700,664.0,,,Fribourg
Fribourg,46.80341028,7.15003761,06:00 - 21:00,Coop Supermarché Fribourg Gare,1700,664.0,,,Fribourg
Frick,47.50903411,8.01921934,08:00 - 20:00,Coop Supermarkt Frick,5070,665.0,,,Frick
Frutigen,46.58727985,7.64707453,07:30 - 19:00,Coop Supermarkt Frutigen,3714,667.0,,,Frutigen
Fully,46.15097436,7.14560162,07:30 - 18:30,Coop Supermarché Fully,1926,671.0,,,Fully
Gampel,46.31497008,7.74421671,07:30 - 18:30,Coop Supermarkt Gampel,3945,,,,Gampel-Bratsch
Gebenstorf,47.48948506,8.24505782,08:00 - 20:00,Coop Supermarkt Gebenstorf,5412,685.0,,,Turgi
Gelterkinden,47.46493501,7.85171145,07:30 - 20:00,Coop Supermarkt Gelterkinden,4460,686.0,,,Gelterkinden
Geneve,46.20955298,6.14294082,06:00 - 22:00,Coop Supermarché Genève Gare Mont-Blanc,1201,,,,Genève
Genève,46.20627206,6.1159998,08:00 - 19:00,Coop Supermarché Genève Sports,1203,689.0,,,Lancy
Genève,46.19980969,6.13203051,07:30 - 19:00,Coop Supermarché Genève Jonction,1205,689.0,,,Genève
Genève,46.19475193,6.15221969,07:30 - 19:00,Coop Supermarché Genève Champel,1206,689.0,,,Genève
Genève,46.19322645,6.16125926,08:00 - 19:00,Coop Supermarché Genève Florissant,1206,689.0,,,Genève
Genève,46.20692726,6.12977295,07:30 - 19:00,Coop Supermarché Genève Daubin,1203,689.0,,,Genève
Genève,46.213225,6.12356835,07:30 - 19:00,Coop Supermarché Genève Vieusseux,1203,689.0,,,Le Grand-Saconnex
Genève,46.20429932,6.16190566,07:30 - 19:00,Coop Supermarché Genève Montchoisy,1207,689.0,,,Genève
Genève,46.20123146,6.13905792,07:30 - 19:00,Coop Supermarché Genève Cirque,1205,689.0,,,Genève
Genève,46.22495722,6.13137369,08:00 - 19:00,Coop Supermarché Genève de Budé,1202,689.0,,,Le Grand-Saconnex
Genève,46.21197546,6.14941516,07:30 - 19:00,Coop Supermarché Genève Pâquis,1201,689.0,,,Genève
Genève,46.20397855,6.12454385,07:30 - 19:00,Coop Supermarché Genève Saint-Jean,1203,689.0,,,Lancy
Genève,46.21318351,6.14570571,07:30 - 19:00,Coop Supermarché Genève Rue de Lausanne,1201,689.0,,,Genève
Genève,46.20799545,6.13735429,07:30 - 19:00,Coop Supermarché Genève Voltaire,1201,689.0,,,Genève
Genève,46.19218897,6.14367843,07:30 - 19:00,Coop Supermarché Genève Augustins,1205,689.0,,,Carouge (GE)
Genève,46.21243716,6.13167507,07:30 - 19:00,Coop Supermarché Genève Servette,1202,689.0,,,Genève
Genève,46.21996104,6.14120265,07:30 - 19:00,Coop Supermarché Genève Montbrillant,1202,689.0,,,Genève
Genève,46.2004726,6.16003961,07:30 - 19:00,Coop Supermarché Genève Eaux-Vives,1207,689.0,,,Genève
Genève,46.20788932,6.12737806,07:30 - 19:00,Coop Supermarché Genève Charmilles,1203,689.0,,,Genève
Genève,46.20457237,6.1268621,07:30 - 19:00,Coop Supermarché Genève St-Jean Parc,1203,689.0,,,Genève
Genève,46.20930459,6.14246719,06:00 - 22:00,Coop Supermarché Genève Gare centre,1201,689.0,,,Genève
Gerlafingen,47.1710705,7.57305384,07:00 - 18:30,Coop Supermarkt Gerlafingen,4563,692.0,,,Gerlafingen
Geroldswil,47.42167439,8.40789381,07:30 - 20:00,Coop Supermarkt Geroldswil,8954,693.0,,,Geroldswil
Giffers,46.76198493,7.20890343,07:00 - 19:00,Coop Supermarkt Giffers,1735,700.0,,,Giffers
Giswil,46.83757747,8.1861729,07:00 - 19:00,Coop Supermarkt Giswil,6074,707.0,,,Giswil
Giubiasco,46.1737529,9.01036079,08:00 - 19:00,Coop Supermercato Giubiasco,6512,,,,Bellinzona
Gland,46.42738093,6.26605601,08:00 - 19:00,Coop Supermarché Gland Eikenott,1196,710.0,,,Gland
Glarus,47.04017047,9.06960813,07:30 - 19:00,Coop Supermarkt Glarus,8750,711.0,,,Glarus
Glattbrugg,47.43426957,8.56716254,07:00 - 20:00,Coop Supermarkt Glattbrugg,8152,,,,Opfikon
Glattbrugg,47.4284025,8.56371103,07:00 - 20:00,Coop Supermarkt Opfikon,8152,,,,Opfikon
Glattbrugg,47.43067825,8.56000775,06:30 - 21:00,Coop Supermarkt Glattbrugg Bahnhof,8152,,,,Opfikon
Glattfelden,47.55685892,8.502775,07:30 - 20:00,Coop Supermarkt Glattfelden,8192,714.0,,,Glattfelden
Glattpark Opfikon,47.42362681,8.56179424,07:00 - 20:00,Coop Supermarkt Opfikon Lindbergh-Allee,8152,,,,Opfikon
Goldach,47.47955467,9.46939406,07:30 - 19:00,Coop Supermarkt Goldach,9403,716.0,,,Goldach
Goldau,47.05039724,8.55031476,07:30 - 20:00,Coop Supermarkt Goldau,6410,,,,Arth
Goldau,47.04920085,8.54938181,06:00 - 22:00,Coop Supermarkt Goldau Bahnhof,6410,,,,Arth
Gommiswald,47.23336172,9.02037349,07:30 - 19:00,Coop Supermarkt Gommiswald,8737,718.0,,,Gommiswald
Göschenen,46.66894863,8.58658148,08:00 - 12:00 14:00 - 18:30,Coop Supermarkt Göschenen,6487,724.0,,,Göschenen
Gossau,47.41672718,9.25153839,08:00 - 19:00,Coop Supermarkt Gossau SG,9200,,,,Gossau (SG)
Gossau,47.30556387,8.75731373,07:30 - 20:00,Coop Supermarkt Gossau ZH,8625,,,,Gossau (ZH)
Grächen,46.19703384,7.83912035,08:00 - 12:00 14:00 - 18:30,Coop Supermarkt Grächen,3925,731.0,,,Grächen
Grancia,45.97322602,8.92705642,09:00 - 19:00,Coop Supermercato Lugano Sud,6916,732.0,,,Grancia
Grand-Lancy,46.17567388,6.12061609,08:00 - 19:00,Coop Supermarché Grand-Lancy Palettes,1212,,,,Plan-les-Ouates
Grand-Lancy,46.18188858,6.12043997,08:00 - 19:00,Coop Supermarché Grand-Lancy,1212,,,,Lancy
Grand-Lancy,46.17992655,6.12809051,08:30 - 19:00,Coop Supermarché Grand-Lancy La Praille,1212,,,,Carouge (GE)
Granges-Marnand,46.76181498,6.89034145,07:00 - 19:00,Coop Supermarché Granges-Marnand,1523,,,,Valbroye
Granges-Paccot,46.82082407,7.15307591,08:00 - 19:00,Coop Supermarché Granges-Paccot,1763,741.0,,,Granges-Paccot
Gränichen,47.35867786,8.09897807,07:30 - 20:00,Coop Supermarkt Gränichen,5722,743.0,,,Gränichen
Grellingen,47.44173935,7.58939205,08:00 - 19:00,Coop Supermarkt Grellingen,4203,746.0,,,Grellingen
Grenchen,47.19237784,7.39729142,07:00 - 18:30,Coop Supermarkt Grenchen Zentrum,2540,747.0,,,Grenchen
Grenchen,47.19377516,7.40713436,07:00 - 18:30,Coop Supermarkt Grenchen Leuzigenstrasse,2540,747.0,,,Grenchen
Grimentz,46.17505768,7.57342493,08:00 - 18:30,Coop Supermarché Grimentz,3961,,,,Anniviers
Grimisuat,46.26161146,7.38781043,07:30 - 18:30,Coop Supermarché Grimisuat,1971,753.0,,,Grimisuat
Grindelwald,46.62428171,8.03583124,08:00 - 19:00,Coop Supermarkt Grindelwald,3818,755.0,,,Grindelwald
Grindelwald,46.62505287,8.01885249,08:00 - 18:00,Coop Supermarkt Grindelwald Terminal,3818,755.0,,,Grindelwald
Grosshöchstetten,46.90607663,7.63884599,08:00 - 19:00,Coop Supermarkt Grosshöchstetten,3506,761.0,,,Grosshöchstetten
Gstaad,46.47655663,7.28337245,08:00 - 19:00,Coop Supermarkt Gstaad,3780,,,,Saanen
Gümligen,46.93329934,7.50393849,08:00 - 19:00,Coop Supermarkt Gümligen Zentrum Moos,3073,,,,Muri bei Bern
Güttingen,47.60399172,9.2874011,07:00 - 20:00,Coop Supermarkt Güttingen,8594,780.0,,,Güttingen
Haag,47.21211433,9.49505502,08:00 - 19:00,Coop Supermarkt Haag,9469,,,,Sennwald
Hägendorf,47.33421939,7.8416628,07:30 - 18:30,Coop Supermarkt Hägendorf,4614,786.0,,,Hägendorf
Hallau,47.69786086,8.4606305,07:30 - 19:00,Coop Supermarkt Hallau,8215,790.0,,,Hallau
Haute-Nendaz,46.18244588,7.29071416,08:00 - 19:00,Coop Supermarché Nendaz,1997,,,,Nendaz
Heerbrugg,47.40965981,9.62460601,07:30 - 19:00,Coop Supermarkt Heerbrugg,9435,,,,Widnau
Heiden,47.44376949,9.53214943,07:30 - 19:00,Coop Supermarkt Heiden,9410,811.0,,,Heiden
Heimberg,46.78342822,7.6088734,08:00 - 19:00,Coop Supermarkt Heimberg Aarestrasse,3627,813.0,,,Heimberg
Heimberg,46.77983091,7.60825974,08:00 - 20:00,Coop Supermarkt Heimberg Center,3627,813.0,,,Heimberg
Hergiswil,46.98595768,8.31149146,07:30 - 20:00,Coop Supermarkt Hergiswil Landweg,6052,,,,Hergiswil (NW)
Hergiswil,46.98169315,8.3103969,07:30 - 20:00,Coop Supermarkt Hergiswil Bahnhofstrasse,6052,,,,Hergiswil (NW)
Herisau,47.38644679,9.2786976,07:30 - 19:00,Coop Supermarkt Herisau,9100,831.0,,,Herisau
Herrliberg,47.28623778,8.61285349,07:30 - 20:00,Coop Supermarkt Herrliberg,8704,835.0,,,Herrliberg
Herzogenbuchsee,47.18580308,7.70328894,08:00 - 19:00,Coop Supermarkt Herzogenbuchsee,3360,838.0,,,Herzogenbuchsee
Hilterfingen,46.73592723,7.65892651,08:00 - 18:30,Coop Supermarkt Hilterfingen,3652,841.0,,,Oberhofen am Thunersee
Hinwil,47.2991296,8.83766113,08:00 - 20:00,Coop Supermarkt Hinwil Hiwi-Märt,8340,844.0,,,Hinwil
Hinwil,47.3066264,8.8179663,08:00 - 20:00,Coop Supermarkt Hinwil Center,8340,844.0,,,Wetzikon (ZH)
Hitzkirch,47.22399572,8.26013205,07:30 - 19:00,Coop Supermarkt Hitzkirch,6285,847.0,,,Hitzkirch
Hochdorf,47.16876434,8.28867227,07:30 - 19:00,Coop Supermarkt Hochdorf,6280,848.0,,,Hochdorf
Hombrechtikon,47.25312317,8.77332682,08:00 - 20:00,Coop Supermarkt Hombrechtikon,8634,861.0,,,Hombrechtikon
Horgen,47.2590348,8.59875191,07:30 - 20:00,Coop Supermarkt Horgen Leue-Huus,8810,864.0,,,Horgen
Horgen,47.24531821,8.60836156,07:30 - 20:00,Coop Supermarkt Horgen Waldegg,8810,864.0,,,Horgen
Horn,47.49724713,9.45522834,07:00 - 20:00,Coop Supermarkt Horn,9326,866.0,,,Horn
Horw,47.01946099,8.31102372,07:30 - 19:00,Coop Supermarkt Horw,6048,869.0,,,Horw
Hünenberg,47.17547309,8.42630727,07:30 - 19:00,Coop Supermarkt Hünenberg,6331,874.0,,,Hünenberg
Hünibach,46.7457162,7.64345911,07:30 - 19:00,Coop Supermarkt Hünibach,3626,,,,Hilterfingen
Hüntwangen,47.58203465,8.51440636,08:00 - 20:00,Coop Supermarkt Hüntwangen,8194,876.0,,,Eglisau
Huttwil,47.1138026,7.84402513,07:00 - 19:00,Coop Supermarkt Huttwil,4950,880.0,,,Huttwil
Ilanz,46.77462138,9.19260982,08:00 - 20:00,Coop Supermarkt Ilanz,7130,,,,Ilanz/Glion
Ins,47.0058872,7.10396188,07:00 - 19:00,Coop Supermarkt Ins,3232,892.0,,,Ins
Interlaken,46.68968398,7.86924936,08:00 - 19:00,Coop Supermarkt Interlaken Ost,3800,893.0,,,Matten bei Interlaken
Interlaken,46.69044901,7.86915085,06:00 - 20:00,Coop Supermarkt Interlaken Bahnhof,3800,893.0,,,Matten bei Interlaken
Interlaken,46.68490233,7.85357733,07:30 - 19:00,Coop Supermarkt Interlaken Post,3800,893.0,,,Interlaken
Ittigen,46.9742293,7.48168573,08:00 - 19:00,Coop Supermarkt Ittigen,3063,902.0,,,Ittigen
Jegenstorf,47.04982218,7.50627704,08:00 - 19:00,Coop Supermarkt Jegenstorf,3303,905.0,,,Jegenstorf
Jona,47.22977806,8.84886676,08:00 - 20:00,Coop Supermarkt Jona Center,8645,,,,Rapperswil-Jona
Jona,47.23162603,8.83675173,07:30 - 20:00,Coop Supermarkt Jona Eisenhof,8645,,,,Rapperswil-Jona
Kaiseraugst,47.53822418,7.73202997,08:30 - 20:00,Coop Supermarkt Kaiseraugst,4303,917.0,,,Kaiseraugst
Kandersteg,46.4948534,7.67310912,08:00 - 18:30,Coop Supermarkt Kandersteg,3718,924.0,,,Kandersteg
Kehrsatz,46.91080714,7.47056988,08:00 - 19:00,Coop Supermarkt Kehrsatz,3122,930.0,,,Kehrsatz
Kerzers,46.97241825,7.19346795,07:00 - 19:00,Coop Supermarkt Kerzers,3210,934.0,,,Kerzers
Kilchberg,47.3231126,8.54900138,07:00 - 20:00,Coop Supermarkt Kilchberg,8802,,,,Kilchberg (ZH)
Kirchberg,47.08762922,7.58403956,07:00 - 19:00,Coop Supermarkt Kirchberg,3422,,,,Kirchberg (BE)
